Squad_Name,Name,DOB,Bat_Style,Bowl_Style,Role
Australia Squad,Aaron Finch,"November 17, 1986, Colac, Victoria",Right hand Bat,Slow Left arm Orthodox,Top order Batter
United Arab Emirates Squad,Aayan Afzal Khan,15-Nov-05,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
New Zealand Squad,Adam Fraser Milne,"April 13, 1992, Palmerston North",Right hand Bat,Right arm Fast,Bowler
Australia Squad,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",Right hand Bat,Legbreak Googly,Bowler
England Squad,Adil Rashid,"February 17, 1988, Bradford, Yorkshire",Right hand Bat,Legbreak,Bowler
Bangladesh Squad,Afif Hossain,"September 22, 1999, Khulna",Left hand Bat,Right arm Offbreak,Allrounder
United Arab Emirates Squad,Ahmed Raza,"October 10, 1988, Sharjah",Right hand Bat,Slow Left arm Orthodox,Bowler
South Africa Squad,Aiden Markram,"October 04, 1994, Centurion",Right hand Bat,Right arm Offbreak,Opening Batter
West Indies Squad,Akeal Hosein,"April 25, 1993, Port-of-Spain",Left hand Bat,Slow Left arm Orthodox,Bowler
England Squad,Alex Hales,"January 03, 1989, Hillingdon, Middlesex",Right hand Bat,Right arm Medium,Opening Batter
United Arab Emirates Squad,Alishan Sharafu,"January 10, 2003, Kerala, India",Right hand Bat,Right arm Medium,Opening Batter
West Indies Squad,Alzarri Joseph,"November 20, 1996, Antigua",Right hand Bat,Right arm Fast,Bowler
Ireland squad,Andy Balbirnie,"December 28, 1990, Dublin, Ireland",Right hand Bat,Right arm Offbreak,Batter
Netherlands Squad,Anil Teja Nidamanuru,"August 22, 1994, Vijayawada, Andhra Pradesh",Right hand Bat,Right arm Offbreak,Allrounder
South Africa Squad,Anrich Nortje,16-Nov-93,Right hand Bat,Right arm Fast,Bowler
India Squad,Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",Left hand Bat,Left arm Medium fast,Bowler
United Arab Emirates Squad,Aryan Lakra,"December 13, 2001, Sonepat, Haryana",Left hand Bat,Slow Left arm Orthodox,Bowler
Australia Squad,Ashton Agar,"October 14, 1993, Melbourne, Victoria",Left hand Bat,Slow Left arm Orthodox,Bowler
Pakistan Squad,Asif Ali,"October 01, 1991, Faisalabad, Punjab",Right hand Bat,Right arm Offbreak,Middle order Batter
Sri Lanka Squad,Asitha Madusanka Fernando,"July 31, 1997, Katuneriya",Right hand Bat,Right arm Medium fast,Bowler
India Squad,Axar Patel,"January 20, 1994, Anand, Gujarat",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Afghanistan Squad,Azmatullah Omarzai,24-Mar-00,Right hand Bat,Right arm Medium fast,Allrounder
Pakistan Squad,Babar Azam,"October 15, 1994, Lahore, Punjab",Right hand Bat,Right arm Offbreak,Batter
Ireland squad,Barry McCarthy,13-Sep-92,Right hand Bat,Right arm Fast medium,Bowler
Netherlands Squad,Bas de Leede,15-Nov-99,Right hand Bat,Right arm Fast medium,Batting Allrounder
United Arab Emirates Squad,Basil Hameed,"April 15, 1992, Panniyankara, Kozhikode, Kerala",Right hand Bat,Right arm Offbreak,Middle order Batter
Namibia Squad,Ben Shikongo,8-May-00,Right hand Bat,Right arm Medium fast,Bowler
England Squad,Ben Stokes,"June 04, 1991, Christchurch, Canterbury, New Zealand",Left hand Bat,Right arm Fast medium,Allrounder
Namibia Squad,Bernard Scholtz,"October 03, 1990, Keetmanshoop, Namibia",Right hand Bat,Slow Left arm Orthodox,Bowler
Sri Lanka Squad,Bhanuka Rajapaksa,"October 24, 1991, Colombo",Left hand Bat,Right arm Medium,Top order Batter
India Squad,Bhuvneshwar Kumar,"February 05, 1990, Meerut, Uttar Pradesh",Right hand Bat,Right arm Medium,Bowler
Sri Lanka Squad,Binura Fernando,"July 12, 1995, Colombo",Right hand Bat,Left arm Medium fast,Bowler
Zimbabwe squad,Blessing Muzarabani,"October 02, 1996, Harare",Right hand Bat,Right arm Fast medium,Bowler
Zimbabwe squad,Brad Evans,24-Mar-97,Right hand Bat,Right arm Fast,Allrounder
Scotland squad,Brad Wheal,"August 28, 1996, Durban, KwaZulu-Natal",Right hand Bat,Right arm Fast medium,Bowler
Netherlands Squad,Brandon Glover,"April 03, 1997, Johannesburg, Gauteng, South Africa",Right hand Bat,Right arm Fast,Bowler
West Indies Squad,Brandon King,"December 16, 1994, Kingston, Jamaica",Right hand Bat,,Top order Batter
Scotland squad,Brandon McMullen,"October 18, 1999, Durban",Right hand Bat,Right arm Medium,Batting Allrounder
Scotland squad,Calum MacLeod,"November 15, 1988, Glasgow, Lanarkshire",Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Australia Squad,Cameron Green,3-Jun-99,Right hand Bat,Right arm Fast medium,Batting Allrounder
Sri Lanka Squad,Chamika Karunaratne,"May 29, 1996, Colombo",Right hand Bat,Right arm Medium fast,Bowling Allrounder
Sri Lanka Squad,Charith Asalanka,"June 29, 1997, Elpitiya",Left hand Bat,Right arm Offbreak,Batting Allrounder
United Arab Emirates Squad,Chirag Suri,"February 18, 1995, New Delhi, India",Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Scotland squad,Chris Greaves,12-Oct-90,Right hand Bat,Legbreak,Bowler
England Squad,Chris Woakes,"March 02, 1989, Birmingham, Warwickshire",Right hand Bat,Right arm Fast medium,Allrounder
Scotland squad,Christopher Barclay Sole,27-Feb-94,Right hand Bat,Right arm Medium,Bowler
England Squad,Chris Jordan,"October 04, 1988, Barbados",Right hand Bat,Right arm Fast medium,Bowler
United Arab Emirates Squad,Chundangapoyil Rizwan,"April 19, 1988, Tellicherry, Kerala",Right hand Bat,Legbreak Googly,Middle order Batter
Zimbabwe squad,Clive Madande,12-Apr-00,Right hand Bat,,Wicketkeeper Batter
Netherlands Squad,Colin Ackermann,"April 04, 1991, George, South Africa",Right hand Bat,Right arm Offbreak,Batting Allrounder
