Match,Name,Pos,Inning,Runs,Balls,Fours,Sixes,S.R,Match_ID,Dismissal_Type
Namibia vs Sri Lanka,Michael van Lingen,1,1,3,6,0,0,50.0,T20I # 1823,Caught
Namibia vs Sri Lanka,Divan la Cock,2,1,9,9,1,0,100.0,T20I # 1823,Caught
Namibia vs Sri Lanka,Jan Nicol Loftie-Eaton,3,1,20,12,1,2,166.66,T20I # 1823,Caught
Namibia vs Sri Lanka,Stephan Baard,4,1,26,24,2,0,108.33,T20I # 1823,Caught
Namibia vs Sri Lanka,Gerhard Erasmus,5,1,20,24,0,0,83.33,T20I # 1823,Caught
Namibia vs Sri Lanka,Jan Frylinck,6,1,44,28,4,0,157.14,T20I # 1823,Run Out
Namibia vs Sri Lanka,David Wiese,7,1,0,1,0,0,0.0,T20I # 1823,Caught
Namibia vs Sri Lanka,JJ Smit,8,1,31,16,2,2,193.75,T20I # 1823,Not Out
Namibia vs Sri Lanka,Pathum Nissanka,1,2,9,10,1,0,90.0,T20I # 1823,Caught
Namibia vs Sri Lanka,Kusal Mendis,2,2,6,6,0,0,100.0,T20I # 1823,Caught
Namibia vs Sri Lanka,Dhananjaya de Silva,3,2,12,11,1,0,109.09,T20I # 1823,Caught
Namibia vs Sri Lanka,Danushka Gunathilaka,4,2,0,1,0,0,0.0,T20I # 1823,Caught
Namibia vs Sri Lanka,Bhanuka Rajapaksa,5,2,20,21,2,0,95.23,T20I # 1823,Caught
Namibia vs Sri Lanka,Dasun Shanaka,6,2,29,23,2,1,126.08,T20I # 1823,Caught
Namibia vs Sri Lanka,Wanindu Hasaranga de Silva,7,2,4,8,0,0,50.0,T20I # 1823,Caught
Namibia vs Sri Lanka,Chamika Karunaratne,8,2,5,8,0,0,62.5,T20I # 1823,Caught
Namibia vs Sri Lanka,Pramod Madushan,9,2,0,0,0,0,0.0,T20I # 1823,Run Out
Namibia vs Sri Lanka,Dushmantha Chameera,10,2,8,15,0,0,53.33,T20I # 1823,Caught
Namibia vs Sri Lanka,Maheesh Theekshana,11,2,11,11,0,1,100.0,T20I # 1823,Not Out
United Arab Emirates vs Netherlands,Chirag Suri,1,1,12,20,1,0,60.0,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Muhammad Waseem,2,1,41,47,1,2,87.23,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Kashif Daud,3,1,15,14,0,1,107.14,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Vriitya Aravind,4,1,18,21,0,0,85.71,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Zawar Farid,5,1,2,4,0,0,50.0,T20I # 1825,Run Out
United Arab Emirates vs Netherlands,Basil Hameed,6,1,4,4,1,0,100.0,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Chundangapoyil Rizwan,7,1,1,2,0,0,50.0,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Aayan Afzal Khan,8,1,5,7,0,0,71.42,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Karthik Meiyappan,9,1,0,0,0,0,0.0,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Junaid Siddique,10,1,0,1,0,0,0.0,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Vikramjit Singh,1,2,10,7,2,0,142.85,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Max O'Dowd,2,2,23,18,3,1,127.77,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Bas de Leede,3,2,14,18,1,0,77.77,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Colin Ackermann,4,2,17,19,1,0,89.47,T20I # 1825,Caught
United Arab Emirates vs Netherlands,Tom Cooper,5,2,8,16,0,0,50.0,T20I # 1825,LBW
United Arab Emirates vs Netherlands,Scott Edwards,6,2,16,19,0,0,84.21,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Roelof van der Merwe,7,2,0,2,0,0,0.0,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Tim Pringle,8,2,15,16,0,0,93.75,T20I # 1825,Not Out
United Arab Emirates vs Netherlands,Logan van Beek,9,2,4,4,0,0,100.0,T20I # 1825,Not Out
Scotland vs West Indies,George Munsey,1,1,66,53,9,0,124.52,T20I # 1826,Not Out
Scotland vs West Indies,Michael Jones,2,1,20,17,3,0,117.64,T20I # 1826,Not Out
Scotland vs West Indies,Matthew Cross,3,1,3,5,0,0,60.0,T20I # 1826,Caught
Scotland vs West Indies,Richie Berrington,4,1,16,14,0,1,114.28,T20I # 1826,Caught
Scotland vs West Indies,Calum MacLeod,5,1,23,14,4,0,164.28,T20I # 1826,Caught
Scotland vs West Indies,Michael Leask,6,1,4,6,0,0,66.66,T20I # 1826,Not Out
Scotland vs West Indies,Chris Greaves,7,1,16,11,2,0,145.45,T20I # 1826,Not Out
Scotland vs West Indies,Kyle Mayers,1,2,20,13,3,1,153.84,T20I # 1826,Caught
Scotland vs West Indies,Evin Lewis,2,2,14,13,1,1,107.69,T20I # 1826,Caught
Scotland vs West Indies,Brandon King,3,2,17,15,3,0,113.33,T20I # 1826,Not Out
Scotland vs West Indies,Nicholas Pooran,4,2,5,9,0,0,55.55,T20I # 1826,Not Out
Scotland vs West Indies,Shamarh Brooks,5,2,4,9,0,0,44.44,T20I # 1826,Caught
Scotland vs West Indies,Rovman Powell,6,2,5,6,0,0,83.33,T20I # 1826,Caught
Scotland vs West Indies,Jason Holder,7,2,38,33,4,1,115.15,T20I # 1826,Caught
Scotland vs West Indies,Akeal Hosein,8,2,1,1,0,0,100.0,T20I # 1826,Run Out
Scotland vs West Indies,Alzarri Joseph,9,2,0,1,0,0,0.0,T20I # 1826,Caught
Scotland vs West Indies,Odean Smith,10,2,5,8,0,0,62.5,T20I # 1826,Caught
Scotland vs West Indies,Obed McCoy,11,2,2,3,0,0,66.66,T20I # 1826,Not Out
Zimbabwe vs Ireland,Regis Chakabva,1,1,0,2,0,0,0.0,T20I # 1828,Caught
Zimbabwe vs Ireland,Craig Ervine,2,1,9,12,1,0,75.0,T20I # 1828,Stumped
Zimbabwe vs Ireland,Wessly Madhevere,3,1,22,19,4,0,115.78,T20I # 1828,Caught
Zimbabwe vs Ireland,Sean Williams,4,1,12,11,0,1,109.09,T20I # 1828,Caught
Zimbabwe vs Ireland,Sikandar Raza,5,1,82,48,5,5,170.83,T20I # 1828,Not Out
Zimbabwe vs Ireland,Milton Shumba,6,1,16,14,1,0,114.28,T20I # 1828,Caught
Zimbabwe vs Ireland,Ryan Burl,7,1,1,4,0,0,25.0,T20I # 1828,Caught
Zimbabwe vs Ireland,Luke Jongwe,8,1,20,10,3,0,200.0,T20I # 1828,Not Out
Zimbabwe vs Ireland,Paul Stirling,1,2,0,2,0,0,0.0,T20I # 1828,Not Out
Zimbabwe vs Ireland,Andy Balbirnie,2,2,3,4,0,0,75.0,T20I # 1828,Caught
Zimbabwe vs Ireland,Lorcan Tucker,3,2,11,11,2,0,100.0,T20I # 1828,Not Out
Zimbabwe vs Ireland,Harry Tector,4,2,1,4,0,0,25.0,T20I # 1828,Caught
Zimbabwe vs Ireland,Curtis Campher,5,2,27,22,1,0,122.72,T20I # 1828,Not Out
Zimbabwe vs Ireland,George Dockrell,6,2,24,20,3,0,120.0,T20I # 1828,Not Out
Zimbabwe vs Ireland,Gareth Delany,7,2,24,20,1,1,120.0,T20I # 1828,Caught
Zimbabwe vs Ireland,Mark Adair,8,2,9,10,0,1,90.0,T20I # 1828,Caught
Zimbabwe vs Ireland,Simi Singh,9,2,0,1,0,0,0.0,T20I # 1828,Not Out
Zimbabwe vs Ireland,Barry McCarthy,10,2,22,16,1,2,137.5,T20I # 1828,Not Out
