Match,Name,Pos,Inning,Out,Runs,Balls,Fours,Sixes,S.R,Match_ID
India vs Sri Lanka,Ishan Kishan,1,1,c DM de Silva b PWH de Silva,37,29,3,2,127.58,T20I # 1984
India vs Sri Lanka,Shubman Gill,2,1,lbw b Theekshana,7,5,1,0,140.00,T20I # 1984
India vs Sri Lanka,Suryakumar Yadav,3,1,c Rajapaksa b Karunaratne,7,10,1,0,70.00,T20I # 1984
India vs Sri Lanka,Sanju Samson,4,1,c Madushanka b DM de Silva,5,6,0,0,83.33,T20I # 1984
India vs Sri Lanka,Hardik Pandya,5,1,c †Mendis b Madushanka,29,27,4,0,107.40,T20I # 1984
India vs Sri Lanka,Deepak Hooda,6,1,not out ,41,23,1,4,178.26,T20I # 1984
India vs Sri Lanka,Axar Patel,7,1,not out ,31,20,3,1,155.00,T20I # 1984
India vs Sri Lanka,Pathum Nissanka,1,2, b Shivam Mavi,1,3,0,0,33.33,T20I # 1984
India vs Sri Lanka,Kusal Mendis,2,2,c Samson b HV Patel,28,25,5,0,112.00,T20I # 1984
India vs Sri Lanka,Dhananjaya de Silva,3,2,c Samson b Shivam Mavi,8,6,2,0,133.33,T20I # 1984
India vs Sri Lanka,Charith Asalanka,4,2,c †Ishan Kishan b Umran Malik,12,15,1,1,80.00,T20I # 1984
India vs Sri Lanka,Bhanuka Rajapaksa,5,2,c Pandya b HV Patel,10,11,1,0,90.90,T20I # 1984
India vs Sri Lanka,Dasun Shanaka,6,2,c Chahal b Umran Malik,45,27,3,3,166.66,T20I # 1984
India vs Sri Lanka,Wanindu Hasaranga de Silva,7,2,c Pandya b Shivam Mavi,21,10,1,2,210.00,T20I # 1984
India vs Sri Lanka,Chamika Karunaratne,8,2,not out ,23,16,0,2,143.75,T20I # 1984
India vs Sri Lanka,Maheesh Theekshana,9,2,c Yadav b Shivam Mavi,1,4,0,0,25.00,T20I # 1984
India vs Sri Lanka,Kasun Rajitha,10,2,run out (Hooda/AR Patel),5,4,0,0,125.00,T20I # 1984
India vs Sri Lanka,Dilshan Madushanka,11,2,run out (Hooda/†Ishan Kishan),0,0,0,0,-,T20I # 1984
Sri Lanka vs India,Pathum Nissanka,1,1,c Tripathi b Patel,33,35,4,0,94.28,T20I # 1985
Sri Lanka vs India,Kusal Mendis,2,1,lbw b Chahal,52,31,3,4,167.74,T20I # 1985
