Match,Name,Overs,Maiden_Overs,Runs,Wickets,Economy,Fours,Sixes,Wides,No_Balls,Match_ID
India vs Sri Lanka,Kasun Rajitha,4,0,47,11.75,9,5,3,1,0,T20I # 1984
India vs Sri Lanka,Dilshan Madushanka,4,0,35,8.75,12,4,1,2,0,T20I # 1984
India vs Sri Lanka,Maheesh Theekshana,4,0,29,7.25,6,0,2,0,0,T20I # 1984
India vs Sri Lanka,Chamika Karunaratne,3,0,22,7.33,7,3,0,1,0,T20I # 1984
India vs Sri Lanka,Dhananjaya de Silva,1,0,6,6.00,2,0,0,0,0,T20I # 1984
India vs Sri Lanka,Wanindu Hasaranga de Silva,4,0,22,5.50,10,1,1,0,0,T20I # 1984
India vs Sri Lanka,Hardik Pandya,3,0,12,4.00,13,2,0,1,0,T20I # 1984
India vs Sri Lanka,Shivam Mavi,4,0,22,5.50,14,4,0,0,0,T20I # 1984
India vs Sri Lanka,Umran Malik,4,0,27,6.75,12,3,1,1,0,T20I # 1984
India vs Sri Lanka,Yuzvendra Chahal,2,0,26,13.00,2,0,3,0,0,T20I # 1984
India vs Sri Lanka,Harshal Patel,4,0,41,10.25,9,3,2,1,1,T20I # 1984
India vs Sri Lanka,Axar Patel,3,0,31,10.33,3,1,2,1,0,T20I # 1984
Sri Lanka vs India,Hardik Pandya,2,0,13,6.50,7,0,1,1,0,T20I # 1985
Sri Lanka vs India,Arshdeep Singh,2,0,37,18.50,4,3,2,0,5,T20I # 1985
Sri Lanka vs India,Shivam Mavi,4,0,53,13.25,6,3,4,2,1,T20I # 1985
Sri Lanka vs India,Axar Patel,4,0,24,6.00,9,1,1,0,0,T20I # 1985
Sri Lanka vs India,Yuzvendra Chahal,4,0,30,7.50,5,0,2,0,0,T20I # 1985
Sri Lanka vs India,Umran Malik,4,0,48,12.00,8,3,4,1,1,T20I # 1985
Sri Lanka vs India,Dilshan Madushanka,4,0,45,11.25,10,3,3,3,0,T20I # 1985
Sri Lanka vs India,Kasun Rajitha,4,0,22,5.50,13,2,0,2,0,T20I # 1985
Sri Lanka vs India,Chamika Karunaratne,4,0,41,10.25,8,3,3,0,0,T20I # 1985
Sri Lanka vs India,Wanindu Hasaranga de Silva,3,0,41,13.66,5,0,5,1,0,T20I # 1985
Sri Lanka vs India,Maheesh Theekshana,4,0,33,8.25,7,3,1,0,0,T20I # 1985
Sri Lanka vs India,Dasun Shanaka,1,0,4,4.00,3,0,0,0,0,T20I # 1985
India vs Sri Lanka,Dilshan Madushanka,4,0,55,13.75,8,6,4,1,0,T20I # 1986
India vs Sri Lanka,Kasun Rajitha,4,1,35,8.75,9,4,1,1,0,T20I # 1986
India vs Sri Lanka,Maheesh Theekshana,4,0,48,12.00,4,5,2,0,0,T20I # 1986
India vs Sri Lanka,Chamika Karunaratne,4,0,52,13.00,7,3,5,1,0,T20I # 1986
India vs Sri Lanka,Wanindu Hasaranga de Silva,4,0,36,9.00,5,1,2,0,0,T20I # 1986
India vs Sri Lanka,Hardik Pandya,4,0,30,7.50,13,2,2,2,0,T20I # 1986
India vs Sri Lanka,Arshdeep Singh,2.4,0,20,7.50,9,3,0,4,0,T20I # 1986
India vs Sri Lanka,Shivam Mavi,1,0,6,6.00,3,1,0,0,0,T20I # 1986
