Team1,Team2,Winner,Margin,Ground,Matchdate
India,Sri Lanka,India,2 runs,Wankhede,"Jan 3, 2023"
India,Sri Lanka,Sri Lanka,16 runs,Pune,"Jan 5, 2023"
India,Sri Lanka,India,91 runs,Rajkot,"Jan 7, 2023"
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Jan 12, 2023"
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Jan 14, 2023"
Zimbabwe,Ireland,Zimbabwe,4 wickets,Harare,"Jan 15, 2023"
India,New Zealand,New Zealand,21 runs,Ranchi,"Jan 27, 2023"
India,New Zealand,India,6 wickets,Lucknow,"Jan 29, 2023"
India,New Zealand,India,168 runs,Ahmedabad,"Feb 1, 2023"
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Feb 16, 2023"
U.A.E.,Afghanistan,U.A.E.,9 wickets,Abu Dhabi,"Feb 18, 2023"
U.A.E.,Afghanistan,Afghanistan,6 wickets,Abu Dhabi,"Feb 19, 2023"
Argentina,Bermuda,Bermuda,6 wickets,Buenos Aires,"Feb 21, 2023"
Argentina,Bermuda,Bermuda,107 runs,Buenos Aires,"Feb 22, 2023"
Spain,Isle of Man,Spain,81 runs,Cartagena,"Feb 24, 2023"
Spain,Isle of Man,no result,,Cartagena,"Feb 24, 2023"
Spain,Isle of Man,Spain,8 wickets,Cartagena,"Feb 25, 2023"
Spain,Isle of Man,Spain,6 wickets,Cartagena,"Feb 25, 2023"
Argentina,Panama,Panama,53 runs,Buenos Aires,"Feb 25, 2023"
Bermuda,Cayman Is,Bermuda,96 runs,Buenos Aires,"Feb 25, 2023"
Spain,Isle of Man,Spain,7 wickets,Cartagena,"Feb 26, 2023"
Spain,Isle of Man,Spain,10 wickets,Cartagena,"Feb 26, 2023"
Bahamas,Panama,Bahamas,4 wickets,Buenos Aires,"Feb 26, 2023"
Argentina,Bermuda,Bermuda,110 runs,Buenos Aires,"Feb 26, 2023"
Bahamas,Cayman Is,Cayman Is,31 runs,Buenos Aires,"Feb 28, 2023"
Bermuda,Panama,Bermuda,60 runs,Buenos Aires,"Feb 28, 2023"
Cayman Is,Panama,Cayman Is,12 runs,Buenos Aires,"Mar 2, 2023"
Argentina,Bahamas,Argentina,43 runs,Buenos Aires,"Mar 2, 2023"
Bahamas,Bermuda,Bermuda,9 wickets,Buenos Aires,"Mar 4, 2023"
Argentina,Cayman Is,Cayman Is,3 wickets,Buenos Aires,"Mar 4, 2023"
Kuwait,Malaysia,Malaysia,3 wickets,Mong Kok,"Mar 8, 2023"
Hong Kong,Bahrain,Hong Kong,15 runs,Mong Kok,"Mar 8, 2023"
Bahrain,Malaysia,Malaysia,53 runs,Mong Kok,"Mar 9, 2023"
Hong Kong,Kuwait,Hong Kong,11 runs,Mong Kok,"Mar 9, 2023"
Bangladesh,England,Bangladesh,6 wickets,Chattogram,"Mar 9, 2023"
Bahrain,Kuwait,Bahrain,4 wickets,Mong Kok,"Mar 11, 2023"
Hong Kong,Malaysia,Hong Kong,4 wickets,Mong Kok,"Mar 11, 2023"
Bahrain,Kuwait,Kuwait,6 wickets,Mong Kok,"Mar 12, 2023"
Hong Kong,Malaysia,Hong Kong,39 runs,Mong Kok,"Mar 12, 2023"
Bangladesh,England,Bangladesh,4 wickets,Mirpur,"Mar 12, 2023"
Samoa,Vanuatu,Vanuatu,17 runs,Suva,"Mar 13, 2023"
Fiji,Samoa,Fiji,66 runs,Suva,"Mar 14, 2023"
Bangladesh,England,Bangladesh,16 runs,Mirpur,"Mar 14, 2023"
